ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013597060640145408,en,2018-07-02 01:35:45,Twitter for Android,140,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/20…",Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs,0,477,"WorldCup,POR,ENG",Squawka Football,Squawka,Cayleb,Accra,861,828
1013597056219295744,en,2018-07-02 01:35:44,Twitter for Android,139,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!…",scores the winning penalty to send into the quarter finals where they will face Russia,0,1031,WorldCup,"FC Barcelona,Ivan Rakitic,HNS | CFF","FCBarcelona,ivanrakitic,HNS_CFF",Febri Aditya,Bogor,667,686
1013597044198391808,en,2018-07-02 01:35:41,Twitter Web Client,142,"We get stronger
Turn the music up now
We got that power power~

#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague 
@weareoneEXO @FIFAWorldCup",We get stronger Turn the music up now We got that power power,0,0,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague","EXO,FIFA World Cup ?","weareoneEXO,FIFAWorldCup",Frida Carrillo,"Zapopan, Jalisco",17,89
1013597039978995712,en,2018-07-02 01:35:40,Twitter for iPhone,140,"RT @ShShShShShSh555: I'm happy for #Russia winning. Especially since, you know, we colluded and all. 
Russia eliminates Spain after penalty…",am happy for winning Especially since you know we colluded and all Russia eliminates Spain after penalty,0,4,Russia,V?Deplorable?45  ??,ShShShShShSh555,?a?????,Mount Olympus ,208,338
1013597038951436288,en,2018-07-02 01:35:40,Twitter Web Client,138,"RT @FridaCarrillo05: When you see me
When we feel the same feeling
Power power~

?????
#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague…",When you see me When we feel the same feeling Power power,0,1,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague",Frida Carrillo,FridaCarrillo05,"STAN LEGENDS, STAN EXO","Lima, Peru",7,9
1013597036178956288,en,2018-07-02 01:35:39,Twitter for Android,86,"RT @EllaPangilinanx: Idek what to do anymore. 
Spain and Portugal both out ? #WorldCup",Idek what to do anymore Spain and Portugal both out,0,1,WorldCup,Ella Laxa-Pangilinan,EllaPangilinanx,Alice,"Bulacan, Central Luzon",34,315
1013597036090818560,en,2018-07-02 01:35:39,Twitter for Android,135,RT @SiClancy: I know it’s been an amazing World Cup but this is a bit too much excitement from Nacho. #worldcup https://t.co/PUCzb7nLP1,know it been an amazing World Cup but this is bit too much excitement from Nacho,0,3817,worldcup,Simon Clancy,SiClancy,Goku,Barcelona,105,51
1013597029623189504,en,2018-07-02 01:35:38,Twitter for Android,88,RT @dw_sports: 2 PENALTY SHOOTOUTS IN ONE DAY! #CRODEN #WorldCup https://t.co/Y2O33Ukv4B,PENALTY SHOOTOUTS IN ONE DAY,0,17,"CRODEN,WorldCup",DW Sports,dw_sports,miikii,Thailand,187,188
1013597022992195585,en,2018-07-02 01:35:36,Twitter for iPad,120,"RT @IanStaffs: Wonder what the odds were on Messi, Ronaldo and Modric all missing penalties at this world cup? #WorldCup",Wonder what the odds were on Messi Ronaldo and Modric all missing penalties at this world cup,0,4,WorldCup,Ian Stafford,IanStaffs,SKS Media India,"Mumbai, India",2147,2403
1013597015375339520,en,2018-07-02 01:35:34,Twitter for iPhone,125,RT @LeJuan__James: Lebron news is cool and all pero let’s gets back to what’s  important..... Let’s GO MEXICO! ???? #WorldCup,Lebron news is cool and all pero let gets back to what important Let GO MEXICO,0,3,WorldCup,LeJuan James,LeJuan__James,DD Benitez,The Ohio State University,171,403
